ASV_name	08_2017_EGC_1	08_2017_EGC_2	09_2017_EGC_1	09_2017_EGC_2	10_2017_EGC_1	10_2017_EGC_2	11_2017_EGC_1	11_2017_EGC_2	12_2017_EGC_1	01_2018_EGC_1	01_2018_EGC_2	02_2018_EGC	03_2018_EGC_1	03_2018_EGC_2	04_2018_EGC_2	05_2018_EGC_1	05_2018_EGC_2	06_2018_EGC_1	06_2018_EGC_2	09_2018_EGC_1	09_2018_EGC_2	10_2018_EGC_1	10_2018_EGC_2	12_2018_EGC_1	06_2019_EGC_2	07_2019_EGC_1	08_2019_EGC_1	07_2016_EGC_1	07_2016_EGC_2	08_2016_EGC_1	08_2016_EGC_2	09_2016_EGC_1	09_2016_EGC_2	10_2016_EGC_1	10_2016_EGC_2	11_2016_EGC	12_2016_EGC_1	12_2016_EGC_2	01_2017_EGC_1	01_2017_EGC_2	02_2017_EGC_1	02_2017_EGC_2	03_2017_EGC_1	03_2017_EGC_2	04_2017_EGC_1	05_2017_EGC_1	05_2017_EGC_2	06_2017_EGC_1	06_2017_EGC_2	07_2017_EGC_1	12_2017_EGC_2	04_2018_EGC_1	07_2018_EGC_1	07_2018_EGC_2	08_2018_EGC_1	08_2018_EGC_2	11_2018_EGC	12_2018_EGC_2	01_2019_EGC_1	01_2019_EGC_2	02_2019_EGC_1	02_2019_EGC_2	03_2019_EGC_1	03_2019_EGC_2	04_2019_EGC_1	05_2019_EGC_1	05_2019_EGC_2	06_2019_EGC_1	07_2019_EGC_2	07_2019_EGC_3	07_2019_EGC_4	09_2019_EGC	10_2019_EGC	11_2019_EGC	12_2019_EGC	01_2020_EGC	02_2020_EGC	03_2020_EGC	04_2020_EGC	05_2020_EGC	06_2020_EGC	07_2020_EGC	08_2020_EGC	09_2020_EGC
asv1	6714	9831	7058	7488	4740	3624	3139	3342	4894	1764	1419	1633	3072	1166	1614	770	1480	2528	2613	6012	1839	1030	186	246	1268	961	6184	4954	28907	9418	8229	16079	14208	7098	7556	8965	8469	5852	3203	3204	10782	8723	7061	7489	4955	3154	5602	3796	2785	5282	4643	1400	3812	2395	12340	6316	4647	5631	10176	3476	6140	712	8102	4002	8760	6133	4813	3964	2999	3254	795	28072	5748	5609	11498	1829	11412	18896	7086	12999	21930	18335	14843	21833
asv2	3105	8304	4552	2973	2409	3110	2076	1186	2309	1090	865	968	1454	951	1398	946	968	3050	7732	10907	2097	3588	292	265	3323	2379	12036	5460	31903	6578	4554	7947	11283	2762	2545	4691	5063	5144	1706	1054	4436	2364	2122	3485	1885	4329	8912	5529	4048	4682	2851	688	4083	2247	19776	7721	4644	3676	6357	2163	3154	625	2454	2885	3447	2058	2537	3495	5027	3772	1847	42541	10707	8765	14505	1872	7298	16804	5063	6940	15571	24457	25481	19619
asv3	1413	2204	420	1494	1190	1386	1219	694	1648	696	625	190	984	675	477	161	174	1435	2258	3177	1153	1895	85	153	397	503	2568	1895	40933	6654	3228	10184	12623	1266	2764	4090	1121	2189	1399	1665	2195	1471	1155	2242	1377	3692	6381	1057	3753	6074	2486	233	1087	649	7885	2954	1529	2258	2143	518	1001	707	2129	1095	1432	1513	743	1115	815	556	424	11717	2514	2608	4111	1050	4488	2708	1669	3257	5213	3175	9759	1585
asv4	3193	826	942	1527	2328	1019	1118	1189	2487	1272	1007	2040	1846	1192	1938	2773	1297	326	354	553	522	374	50	108	353	295	1744	1571	11113	1295	1647	2940	1430	604	1942	1935	2811	6173	2535	1372	2916	543	1146	5929	3626	3398	7620	3684	4320	2280	3425	2563	765	2538	1913	944	1900	1368	1361	531	1025	964	682	438	1990	2834	2568	1119	2802	1359	744	2302	2030	1107	1840	195	1081	2318	1230	1327	5056	512	573	1339
asv5	633	232	56	654	1219	1642	957	424	559	124	175	42	111	108	57	68	39	929	801	116	41	90	30	42	145	80	185	152	1175	419	473	1100	2023	11	1499	1151	183	49	741	256	145	48	2	378	130	405	775	840	641	1245	1025	30	349	391	110	4	411	412	35	10	22	71	0	3	0	167	50	216	166	10	40	154	25	44	106	4	4	56	21	15	8	255	150	3647
asv6	426	771	398	352	330	363	1072	838	850	383	686	1329	1367	476	1223	623	1877	4776	7529	882	409	531	21	35	8956	3239	5340	10279	25115	4037	1749	1580	4273	105	183	248	273	137	32	57	184	104	61	181	28	693	2215	5084	2032	1930	1482	331	7733	4005	624	430	366	239	1	19	145	2	5	18	249	464	241	9410	11980	3659	2477	20201	1960	1407	2727	304	384	390	259	291	962	7355	11993	2638
asv7	1880	972	712	916	318	258	220	109	599	55	311	131	102	67	48	59	119	5380	7791	550	1413	3080	41	24	10543	6495	4494	6505	23636	5431	2211	2271	4679	50	352	569	369	490	81	68	29	0	49	100	43	1746	2385	1219	3365	7567	970	21	1362	886	328	415	583	142	430	28	56	8	4	0	0	1	86	5822	10240	3794	3720	11324	2855	4198	1845	158	233	57	130	72	633	3602	8155	4867
asv8	1624	998	998	1217	1151	1119	1088	890	1812	1383	916	2198	2107	1505	1781	1906	928	11	27	1053	583	400	43	297	208	196	518	254	6315	812	1225	2244	2271	3314	2652	4085	3385	4567	2044	2002	5164	1605	2798	4907	1541	1031	982	2022	1036	767	3119	2426	231	1322	56	569	2079	2932	2298	946	1659	735	3216	3166	2986	2040	2382	1068	1611	899	318	2532	1522	1366	2784	521	1377	1510	3519	5376	15515	1395	1115	1673
asv9	1701	1474	874	1752	5638	2959	1969	1997	3767	1262	941	210	2448	1291	737	552	191	88	216	1258	333	422	49	171	560	259	1305	930	7845	2166	1711	7209	2723	2263	2554	2113	969	2545	1197	1077	1332	1426	644	2579	1105	663	2273	677	1555	1198	2622	546	527	1558	2085	687	549	1415	2037	1887	1688	140	1329	1403	3386	2298	1713	848	1220	1423	684	1493	578	453	1429	189	843	3593	488	877	2180	584	1550	1391
asv11	1004	207	166	738	1429	494	446	749	1167	404	292	20	552	257	163	73	76	301	243	115	25	14	2	16	72	11	458	1215	8400	1631	1005	2118	837	152	1349	1125	378	990	644	803	574	208	156	1733	1112	728	1682	529	1064	1821	891	214	157	92	368	65	83	152	173	280	353	256	17	29	85	396	213	122	52	38	30	679	60	105	276	53	191	279	110	216	323	458	354	515
