ASV_name	MAG_name
asv189	FRAM_EGC1617_bin0
asv13	FRAM_EGC1617_bin10
asv93	FRAM_EGC1617_bin11
asv2	FRAM_EGC1617_bin15
asv45	FRAM_EGC1617_bin16
asv56	FRAM_EGC1617_bin19
asv78	FRAM_EGC1617_bin2
asv157	FRAM_EGC1617_bin21
asv16	FRAM_EGC1617_bin23
asv55	FRAM_EGC1617_bin24
asv191	FRAM_EGC1617_bin25
asv1431	FRAM_EGC1617_bin27
asv7	FRAM_EGC1617_bin28
asv163	FRAM_EGC1617_bin3
asv94	FRAM_EGC1617_bin31
asv71	FRAM_EGC1617_bin32
asv88	FRAM_EGC1617_bin32
asv130	FRAM_EGC1617_bin34
asv115	FRAM_EGC1617_bin36
asv6	FRAM_EGC1617_bin37
asv8	FRAM_EGC1617_bin38
asv18	FRAM_EGC1617_bin39
asv328	FRAM_EGC1617_bin41
asv24	FRAM_EGC1617_bin42
asv58	FRAM_EGC1617_bin6
asv118	FRAM_EGC1617_bin7
asv85	FRAM_EGC1617_bin9
