Gene,HI_mean,LI_mean,Sample,CLR_values,cluster,KEGG_ID,Metabolism,Metabolism_group,Enrichment
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_02_1617_1,-0.806874526,High-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_03_1617_2,-1.094556599,High-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_05_1617_2,0.567991139,Low-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_07_1617_1,0.364762897,Low-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_08_1617_1,0.770228006,Low-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_09_1617_1,0.881206513,Low-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_10_1617_2,0.127434711,Low-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_11_1617,-0.069275583,Low-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
carboxypeptidase PM20D1 [EC:3.4.17.-],-0.880782561,0.440391281,RAS_EGC_12_1617_1,-0.740916558,High-ice cluster,K13049,Proteins,-1.321173842,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_02_1617_1,-0.624611142,High-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_03_1617_2,-0.288138906,High-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_05_1617_2,-0.093982891,Low-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_07_1617_1,0.368640631,Low-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_08_1617_1,0.710389924,Low-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_09_1617_1,-0.093982891,Low-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_10_1617_2,0.538539667,Low-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_11_1617,0.330900303,Low-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],-0.586834914,0.293417457,RAS_EGC_12_1617_1,-0.847754694,High-ice cluster,K07261,Proteins,-0.880252371,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_02_1617_1,-0.271654398,High-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_03_1617_2,-0.100532032,High-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_05_1617_2,-0.018549459,Low-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_07_1617_1,0.249714527,Low-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_08_1617_1,0.007930464,Low-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_09_1617_1,0.081789525,Low-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_10_1617_2,-0.013197083,Low-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_11_1617,0.086632149,Low-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
Xaa-Pro aminopeptidase [EC:3.4.11.9],-0.131440041,0.065720021,RAS_EGC_12_1617_1,-0.022133693,High-ice cluster,K01262,Proteins,-0.197160062,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_02_1617_1,-0.211729048,High-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_03_1617_2,-0.038098269,High-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_05_1617_2,-0.055323576,Low-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_07_1617_1,0.045586899,Low-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_08_1617_1,0.011865869,Low-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_09_1617_1,0.179336418,Low-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_10_1617_2,-0.017440258,Low-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
