"Sample"	"RAS_id"	"locus_tag"	"Mooring_full"	"Mooring"	"Year"	"Month_abb"	"Month"	"Latitude"	"Longitude"	"Clip_id"	"Depth"	"Temperature"	"Salinity"	"Sig"	"O2_concentration"	"O2_saturation"	"Chlorophyll_a_sensor"	"pH"	"AW_proportion"	"PW_proportion"	"Date"	"Daylight"	"NO3_NO2"	"PO4"	"NO2"	"SiO4"	"Ice_cover"	"Ice_edge_distance"	"Ice_cover_past"	"Ice_edge_distance_past"	"Mooring_position"	"Ice_cover_category"	"Ice_cover_past_category"	"Mooring_name"
"1"	"RAS_EGC_08_1718_1"	"08_2017_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Aug"	"17-Aug"	78.84	-2.81	"16S_FRAM_3923_clip"	95.7	3.27	34.96	27.83	NA	NA	NA	NA	0.84	0.16	"8/5/2017"	24	NA	NA	NA	NA	0	35.91	27.57	3.87	"MIZ"	"low"	"low"	"MIZ_2017-18"
"2"	"RAS_EGC_08_1718_2"	"08_2017_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Aug"	"17-Aug"	78.84	-2.81	"16S_FRAM_3924_clip"	89.66	-1.34	34.06	27.41	319.2	85.51	NA	NA	0	1	"8/21/2017"	24	NA	NA	NA	NA	0	108.48	0.12	81.33	"MIZ"	"low"	"low"	"MIZ_2017-18"
"3"	"RAS_EGC_09_1718_1"	"09_2017_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Sep"	"17-Sep"	78.84	-2.81	"16S_FRAM_3925_clip"	92.72	-1.37	34.13	27.46	322.5	86.38	NA	NA	0	1	"9/6/2017"	17.09	NA	NA	NA	NA	0	176.42	0	123.58	"MIZ"	"low"	"low"	"MIZ_2017-18"
"4"	"RAS_EGC_09_1718_2"	"09_2017_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Sep"	"17-Sep"	78.84	-2.81	"16S_FRAM_3926_clip"	76.92	0.62	34.51	27.68	294.26	83.28	NA	NA	0.36	0.64	"9/22/2017"	12.57	NA	NA	NA	NA	0	130.92	0	190.94	"MIZ"	"low"	"low"	"MIZ_2017-18"
"5"	"RAS_EGC_10_1718_1"	"10_2017_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Oct"	"17-Oct"	78.84	-2.81	"16S_FRAM_3927_clip"	78.14	3.8	34.88	27.71	287.56	88.34	NA	NA	0.74	0.26	"10/8/2017"	8.2	NA	NA	NA	NA	0	55.06	NA	105.56	"MIZ"	"low"	NA	"MIZ_2017-18"
"6"	"RAS_EGC_10_1718_2"	"10_2017_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Oct"	"17-Oct"	78.84	-2.81	"16S_FRAM_3928_clip"	76.39	2.17	34.56	27.61	301.58	88.81	NA	NA	0.39	0.61	"10/24/2017"	0	NA	NA	NA	NA	74.5	-34.54	12.75	16.74	"MIZ"	"high"	"low"	"MIZ_2017-18"
"7"	"RAS_EGC_11_1718_1"	"11_2017_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Nov"	"17-Nov"	78.84	-2.81	"16S_FRAM_3929_clip"	76.14	1.59	34.48	27.59	302.95	87.86	NA	NA	0.31	0.69	"11/9/2017"	0	NA	NA	NA	NA	0	32.33	49.31	-6.18	"MIZ"	"low"	"medium"	"MIZ_2017-18"
"8"	"RAS_EGC_11_1718_2"	"11_2017_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Nov"	"17-Nov"	78.84	-2.81	"16S_FRAM_3930_clip"	75.91	3.8	34.94	27.76	302.65	93.02	NA	NA	0.81	0.19	"11/25/2017"	0	NA	NA	NA	NA	2.37	14.7	7.42	17.69	"MIZ"	"low"	"low"	"MIZ_2017-18"
"9"	"RAS_EGC_12_1718_1"	"12_2017_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Dec"	"17-Dec"	78.84	-2.81	"16S_FRAM_3931_clip"	131.77	3.98	35.05	27.83	298.83	92.32	NA	NA	0.94	0.06	"12/11/2017"	0	NA	NA	NA	NA	2.01	14.77	5.48	17.37	"MIZ"	"low"	"low"	"MIZ_2017-18"
"10"	"RAS_EGC_01_1718_1"	"01_2018_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Jan"	"18-Jan"	78.84	-2.81	"16S_FRAM_3933_clip"	86.14	3.22	34.94	27.82	301.31	91.32	NA	NA	0.82	0.18	"1/12/2018"	0	NA	NA	NA	NA	1.07	18.89	0.07	35.88	"MIZ"	"low"	"low"	"MIZ_2017-18"
"11"	"RAS_EGC_01_1718_2"	"01_2018_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Jan"	"18-Jan"	78.84	-2.81	"16S_FRAM_3934_clip"	76.09	2.45	34.83	27.8	309.42	91.95	NA	NA	0.71	0.29	"1/28/2018"	0	NA	NA	NA	NA	62.95	-15.69	13.3	19.24	"MIZ"	"medium"	"low"	"MIZ_2017-18"
"12"	"RAS_EGC_02_1718"	"02_2018_EGC"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Feb"	"18-Feb"	78.84	-2.81	"16S_FRAM_3935_clip"	79.41	-0.6	34.38	27.64	299.09	81.92	NA	NA	0.24	0.76	"2/13/2018"	0	NA	NA	NA	NA	72.86	-10.01	55.51	-7.93	"MIZ"	"high"	"medium"	"MIZ_2017-18"
"13"	"RAS_EGC_03_1718_1"	"03_2018_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Mar"	"18-Mar"	78.84	-2.81	"16S_FRAM_3936_clip"	85.7	2.3	34.92	27.88	312.81	92.67	NA	NA	0.84	0.16	"3/1/2018"	5.7	NA	NA	NA	NA	16.89	8.51	10.86	17.38	"MIZ"	"low"	"low"	"MIZ_2017-18"
"14"	"RAS_EGC_03_1718_2"	"03_2018_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Mar"	"18-Mar"	78.84	-2.81	"16S_FRAM_3937_clip"	76.31	2.81	34.98	27.89	307.89	92.41	NA	NA	0.9	0.1	"3/17/2018"	10.63	NA	NA	NA	NA	52	-3.85	70.64	-10.34	"MIZ"	"medium"	"high"	"MIZ_2017-18"
