Sample	Species_rep	Species	TAD	Rel_abund
FRAM18_IL_4502_E	FRAM18_4502_E_concoct_bin_01	species_591	36.8379	0.590869
FRAM18_IL_4502_E	FRAM18_4502_E_concoct_bin_02	species_764	15.627	0.250652
FRAM18_IL_4502_E	FRAM18_4502_E_concoct_bin_06	species_22	17.2706	0.277015
FRAM18_IL_4502_E	FRAM18_4502_E_concoct_bin_08	species_335	21.8481	0.350437
FRAM18_IL_4502_E	FRAM18_4502_E_concoct_bin_11	species_497	37.3488	0.599063
FRAM18_IL_4502_E	FRAM18_4502_E_concoct_bin_14	species_826	26.788	0.429671
FRAM18_IL_4502_E	FRAM18_4502_E_metabat_bin_02	species_617	15.0626	0.241599
FRAM18_IL_4502_E	FRAM18_4502_E_metabat_bin_04	species_821	40.8529	0.655268
FRAM18_IL_4502_E	FRAM18_4502_E_metabat_bin_07	species_568	18.6698	0.299458
FRAM18_IL_4502_E	FRAM18_4502_E_metabat_bin_13	species_667	71.5867	1.14823
FRAM18_IL_4502_E	FRAM18_4502_F_concoct_bin_06	species_781	29.192	0.468231
FRAM18_IL_4502_E	FRAM18_4502_F_concoct_bin_09	species_464	8.61438	0.138172
FRAM18_IL_4502_E	FRAM18_4502_F_metabat_bin_09	species_522	132.712	2.12866
FRAM18_IL_4502_E	FRAM18_4502_G_concoct_bin_01	species_576	44.9747	0.72138
FRAM18_IL_4502_E	FRAM18_4502_G_concoct_bin_02	species_539	31.3497	0.50284
FRAM18_IL_4502_E	FRAM18_4502_G_concoct_bin_07	species_423	7.79132	0.12497
FRAM18_IL_4502_E	FRAM18_4502_G_concoct_bin_09	species_471	0.745511	0.0119578
FRAM18_IL_4502_E	FRAM18_4502_G_concoct_bin_15	species_774	99.4179	1.59463
FRAM18_IL_4502_E	FRAM18_4502_G_metabat_bin_01	species_674	25.5272	0.409448
FRAM18_IL_4502_E	FRAM18_4502_H_concoct_bin_03	species_376	12.0264	0.1929
FRAM18_IL_4502_E	FRAM18_4502_H_metabat_bin_03	species_374	22.1531	0.355329
FRAM18_IL_4502_E	FRAM18_4502_H_metabat_bin_11	species_646	33.8334	0.542677
FRAM18_IL_4502_E	FRAM18_4502_H_metabat_bin_12	species_334	35.1066	0.563099
FRAM18_IL_4502_E	FRAM18_4502_I_concoct_bin_01	species_105	0	0
FRAM18_IL_4502_E	FRAM18_4502_I_concoct_bin_08	species_518	0.930517	0.0149252
FRAM18_IL_4502_E	FRAM18_4502_I_concoct_bin_10	species_453	0	0
FRAM18_IL_4502_E	FRAM18_4502_I_concoct_bin_13	species_466	0.434344	0.00696674
FRAM18_IL_4502_E	FRAM18_4502_I_metabat_bin_05	species_548	0.597692	0.0095868
FRAM18_IL_4502_E	FRAM18_4502_J_concoct_bin_02	species_413	0	0
FRAM18_IL_4502_E	FRAM18_4502_J_concoct_bin_03	species_769	0.226602	0.00363463
FRAM18_IL_4502_E	FRAM18_4502_J_concoct_bin_04	species_455	0	0
FRAM18_IL_4502_E	FRAM18_4502_J_concoct_bin_08	species_436	0	0
FRAM18_IL_4502_E	FRAM18_4502_J_maxbin_bin_02	species_110	0	0
FRAM18_IL_4502_E	FRAM18_4502_J_metabat_bin_02	species_467	0	0
