Gene,description
K00001,alcohol dehydrogenase [EC:1.1.1.1]
K00003,homoserine dehydrogenase [EC:1.1.1.3]
K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005,glycerol dehydrogenase [EC:1.1.1.6]
K00007,D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008,L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012,UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013,histidinol dehydrogenase [EC:1.1.1.23]
K00014,shikimate dehydrogenase [EC:1.1.1.25]
K00015,glyoxylate reductase [EC:1.1.1.26]
K00016,L-lactate dehydrogenase [EC:1.1.1.27]
K00018,glycerate dehydrogenase [EC:1.1.1.29]
K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023,acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024,malate dehydrogenase [EC:1.1.1.37]
K00027,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028,malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031,isocitrate dehydrogenase [EC:1.1.1.42]
K00032,phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034,glucose 1-dehydrogenase [EC:1.1.1.47]
K00035,D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038,3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039,ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040,fructuronate reductase [EC:1.1.1.57]
K00041,tagaturonate reductase [EC:1.1.1.58]
K00042,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00045,mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046,gluconate 5-dehydrogenase [EC:1.1.1.69]
K00052,3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053,ketol-acid reductoisomerase [EC:1.1.1.86]
K00054,hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055,aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060,threonine 3-dehydrogenase [EC:1.1.1.103]
K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066,GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068,sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069,15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00073,ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076,7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077,2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00088,IMP dehydrogenase [EC:1.1.1.205]
K00090,glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091,dihydroflavonol-4-reductase [EC:1.1.1.219]
K00096,glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097,4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098,L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00101,L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102,D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
