MAG	Completeness	Contamination	Strain_heterogeneity	Genome_size	Number_contigs	N50	GC_content	GTDB_taxonomy	MAG_sample_source	MAG_name2
FRAM_RAS_EGC1617_bin0	84.77	0	0	1328767	2	1004685	34.08	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__MED-G78;s__	FRAM_RAS_EGC_12_1617_1	FRAM_RAS_EGC1617_HI_metabat_bin_11_1-contigs
FRAM_RAS_EGC1617_bin1	80.13	1.44	33.33	2941395	64	55980	53.37	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__	FRAM_RAS_EGC_07_1617_1	FRAM_RAS_EGC1617_HI_metabat_bin_144_1-contigs
FRAM_RAS_EGC1617_bin10	63.54	1.15	50	1375100	25	68986	35.81	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__;s__	FRAM_RAS_EGC_12_1617_1	FRAM_RAS_EGC1617_HI_metabat_bin_82_1-contigs
FRAM_RAS_EGC1617_bin11	74.17	3.7	23.08	3178446	22	222396	50.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__	FRAM_RAS_EGC_07_1617_1	FRAM_RAS_EGC1617_HI_metabat_bin_9_1-contigs
FRAM_RAS_EGC1617_bin12	96.36	3.93	10	3439628	56	98158	34.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	FRAM_RAS_EGC_02_1617_1	FRAM_RAS_EGC1617_HI_vamb_bin_S2C377_1-contigs
FRAM_RAS_EGC1617_bin13	85.04	0.45	100	2875613	24	192618	52.72	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__MPNO01;f__UBA2964;g__WLWZ01;s__	FRAM_RAS_EGC_02_1617_1	FRAM_RAS_EGC1617_HI_vamb_bin_S3C1885_1-contigs
FRAM_RAS_EGC1617_bin14	57.14	1.1	100	1090912	41	33534	38.92	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-2722105;s__	FRAM_RAS_EGC_02_1617_1	FRAM_RAS_EGC1617_HI_vamb_bin_S3C9688_2-contigs
FRAM_RAS_EGC1617_bin15	51.23	3.97	83.33	1030985	40	34459	37.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus;s__	FRAM_RAS_EGC_07_1617_1	
FRAM_RAS_EGC1617_bin16	62.14	3.7	21.43	887779	14	89462	30.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002705445;g__GCA-2705445;s__	FRAM_RAS_EGC_07_1617_1	FRAM_RAS_EGC1617_LI_metabat_bin_113_2-contigs
FRAM_RAS_EGC1617_bin17	60.46	0.13	100	1269550	23	70677	37.42	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus;s__	FRAM_RAS_EGC_11_1617	FRAM_RAS_EGC1617_LI_metabat_bin_141_1-contigs
FRAM_RAS_EGC1617_bin18	60.34	0	0	1084043	33	50551	29.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-121220-bin8;s__	FRAM_RAS_EGC_07_1617_1	
FRAM_RAS_EGC1617_bin19	51.47	2.28	78.57	1238467	36	42812	44.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__	FRAM_RAS_EGC_10_1617_2	FRAM_RAS_EGC1617_LI_metabat_bin_169_1-contigs
FRAM_RAS_EGC1617_bin2	97.64	4.4	20	3613916	26	314869	61.62	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__UBA1138;s__UBA1138 sp009937285	FRAM_RAS_EGC_11_1617	FRAM_RAS_EGC1617_HI_metabat_bin_15_1-contigs
FRAM_RAS_EGC1617_bin20	62.47	3.15	0	3228947	70	75969	48.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__	FRAM_RAS_EGC_11_1617	FRAM_RAS_EGC1617_LI_metabat_bin_180_1-contigs
