Data_source	MAG_name	Cluster	Species	Rank
TARA	TOA-bin-2308	1_0	species_1	species_rep
TARA	TOA-bin-3318	2_0	species_2	species_rep
TARA	TOA-bin-2396	3_0	species_3	species_rep
TARA	TOA-bin-100	4_0	species_4	species_rep
TARA	TOA-bin-1908	5_0	species_5	species_rep
TARA	TOA-bin-3133	6_1	species_6	species_rep
TARA	TOA-bin-3275	6_2	species_7	species_rep
MOSAiC	mosaic_3300045738_137	7_0	species_8	species_rep
TARA	TOA-bin-1658	8_1	species_9	species_member
TARA	TOA-bin-1744	8_1	species_9	species_rep
TARA	TOA-bin-3261	9_0	species_10	species_rep
TARA	TOA-bin-1715	10_0	species_11	species_rep
TARA	TOA-bin-3533	11_1	species_12	species_rep
MOSAiC	mosaic_3300046532_133	11_1	species_12	species_member
TARA	TOA-bin-1711	12_0	species_13	species_rep
TARA	TOA-bin-3472	13_1	species_14	species_member
MOSAiC	mosaic_3300046467_77	13_1	species_14	species_rep
MOSAiC	mosaic_3300045738_28	14_1	species_15	species_rep
MOSAiC	mosaic_3300046467_24	14_2	species_16	species_rep
TARA	TOA-bin-724	15_0	species_17	species_rep
TARA	TOA-bin-806	16_0	species_18	species_rep
MOSAiC	mosaic_3300046467_13	17_0	species_19	species_rep
MOSAiC	mosaic_3300046467_64	18_0	species_20	species_rep
MOSAiC	mosaic_3300045738_199	19_0	species_21	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_06	20_1	species_22	species_rep
MOSAiC	mosaic_3300046532_215	20_1	species_22	species_member
MOSAiC	mosaic_3300045738_31	21_0	species_23	species_rep
FRAM18	FRAM18_4571_PB_I_concoct_bin_14	22_0	species_24	species_rep
TARA	TOA-bin-2244	23_1	species_25	species_rep
TARA	TOA-bin-2974	23_1	species_25	species_member
MOSAiC	mosaic_3300046532_117	23_1	species_25	species_member
TARA	TOA-bin-1291	24_1	species_26	species_rep
TARA	TOA-bin-2712	24_2	species_27	species_rep
TARA	TOA-bin-2042	25_0	species_28	species_rep
TARA	TOA-bin-1561	26_0	species_29	species_rep
TARA	TOA-bin-469	27_0	species_30	species_rep
TARA	TOA-bin-2818	28_0	species_31	species_rep
TARA	TOA-bin-121	29_0	species_32	species_rep
TARA	TOA-bin-2526	30_0	species_33	species_rep
FRAM18	FRAM18_4502_K_metabat_bin_13	31_1	species_34	species_rep
TARA	TOA-bin-449	31_1	species_34	species_member
TARA	TOA-bin-500	31_1	species_34	species_member
TARA	TOA-bin-106	32_0	species_35	species_rep
TARA	TOA-bin-1378	33_0	species_36	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_13	34_1	species_37	species_member
MOSAiC	mosaic_3300046103_37	34_1	species_37	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_24	35_1	species_38	species_rep
TARA	TOA-bin-2621	35_1	species_38	species_member
FRAM18	FRAM18_4502_E_concoct_bin_16	35_2	species_39	species_member
TARA	TOA-bin-848	35_2	species_39	species_rep
TARA	TOA-bin-395	36_0	species_40	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_10	37_1	species_41	species_member
FRAM18	FRAM18_4502_I_concoct_bin_17	37_1	species_41	species_member
FRAM18	FRAM18_4514_A_metabat_bin_02	37_1	species_41	species_rep
FRAM18	FRAM18_4571_PB_I_metabat_bin_08	37_2	species_42	species_rep
TARA	TOA-bin-433	37_3	species_43	species_rep
TARA	TOA-bin-1151	37_4	species_44	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_08	38_1	species_45	species_member
FRAM18	FRAM18_4502_F_concoct_bin_05	38_1	species_45	species_member
FRAM18	FRAM18_4502_G_concoct_bin_11	38_1	species_45	species_member
FRAM18	FRAM18_4502_H_concoct_bin_13	38_1	species_45	species_member
FRAM18	FRAM18_4514_A_metabat_bin_07	38_1	species_45	species_member
MOSAiC	mosaic_3300046450_98	38_1	species_45	species_rep
TARA	TOA-bin-1652	39_0	species_46	species_rep
TARA	TOA-bin-115	40_0	species_47	species_rep
TARA	TOA-bin-371	41_0	species_48	species_rep
TARA	TOA-bin-90	42_0	species_49	species_rep
FRAM18	FRAM18_4571_PB_I_concoct_bin_18	43_1	species_50	species_member
TARA	TOA-bin-2868	43_1	species_50	species_rep
FRAM18	FRAM18_4502_K_concoct_bin_01	44_1	species_51	species_member
FRAM18	FRAM18_4514_D_metabat_bin_11	44_1	species_51	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_20	44_1	species_51	species_rep
TARA	TOA-bin-2706	45_0	species_52	species_rep
TARA	TOA-bin-2529	46_0	species_53	species_rep
TARA	TOA-bin-98	47_0	species_54	species_rep
TARA	TOA-bin-1366	48_1	species_55	species_member
MOSAiC	mosaic_3300045738_118	48_1	species_55	species_rep
TARA	TOA-bin-1482	49_1	species_56	species_rep
MOSAiC	mosaic_3300046467_96	49_1	species_56	species_member
TARA	TOA-bin-1758	49_2	species_57	species_rep
MOSAiC	mosaic_3300046450_69	50_0	species_58	species_rep
TARA	TOA-bin-1713	51_0	species_59	species_rep
TARA	TOA-bin-1760	52_0	species_60	species_rep
TARA	TOA-bin-1485	53_0	species_61	species_rep
MOSAiC	mosaic_3300045738_10	54_0	species_62	species_rep
TARA	TOA-bin-111	55_0	species_63	species_rep
TARA	TOA-bin-3329	56_1	species_64	species_rep
MOSAiC	mosaic_3300046467_60	56_1	species_64	species_member
TARA	TOA-bin-2709	57_0	species_65	species_rep
MOSAiC	mosaic_3300046467_6	58_0	species_66	species_rep
TARA	TOA-bin-1671	59_0	species_67	species_rep
MOSAiC	mosaic_3300045738_87	60_0	species_68	species_rep
TARA	TOA-bin-778	61_1	species_69	species_rep
MOSAiC	mosaic_3300046532_67	61_2	species_70	species_rep
TARA	TOA-bin-2558	62_1	species_71	species_rep
MOSAiC	mosaic_3300046450_26	62_2	species_72	species_rep
TARA	TOA-bin-1293	63_0	species_73	species_rep
TARA	TOA-bin-1432	64_0	species_74	species_rep
TARA	TOA-bin-2234	65_0	species_75	species_rep
TARA	TOA-bin-177	66_0	species_76	species_rep
MOSAiC	mosaic_3300046467_157	67_0	species_77	species_rep
TARA	TOA-bin-1066	68_1	species_78	species_member
MOSAiC	mosaic_3300046450_17	68_1	species_78	species_rep
TARA	TOA-bin-1114	68_2	species_79	species_rep
TARA	TOA-bin-584	69_0	species_80	species_rep
TARA	TOA-bin-976	70_0	species_81	species_rep
TARA	TOA-bin-559	71_0	species_82	species_rep
TARA	TOA-bin-1210	72_1	species_83	species_member
MOSAiC	mosaic_3300046450_73	72_1	species_83	species_rep
MOSAiC	mosaic_3300046532_95	72_2	species_84	species_rep
TARA	TOA-bin-118	73_0	species_85	species_rep
TARA	TOA-bin-1581	74_0	species_86	species_rep
TARA	TOA-bin-1703	75_0	species_87	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_12	76_0	species_88	species_rep
TARA	TOA-bin-1243	77_0	species_89	species_rep
TARA	TOA-bin-86	78_0	species_90	species_rep
TARA	TOA-bin-1694	79_0	species_91	species_rep
TARA	TOA-bin-3353	80_0	species_92	species_rep
TARA	TOA-bin-3328	81_0	species_93	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin25	82_1	species_94	species_rep
MOSAiC	mosaic_3300045738_70	82_2	species_95	species_rep
TARA	TOA-bin-842	83_0	species_96	species_rep
TARA	TOA-bin-1087	84_0	species_97	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin38	85_1	species_98	species_member
MOSAiC	mosaic_3300046451_121	85_1	species_98	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin40	85_2	species_99	species_member
TARA	TOA-bin-238	85_2	species_99	species_member
MOSAiC	mosaic_3300045738_129	85_2	species_99	species_rep
TARA	TOA-bin-2794	86_1	species_100	species_member
MOSAiC	mosaic_3300047669_15	86_1	species_100	species_rep
MOSAiC	mosaic_3300046532_212	87_0	species_101	species_rep
